avano	haveneau, havenet
hyponatalité	sous-natalité
déshériter	exhéréder
lanterne_magique	diapositive, actuel, avatar, projecteur
radiologique	radiographique
torpille_ocellée	torpille_commune
supplicier	exécuter
favorablement	avantageusement
digitale_pourpre	gobe-mouches, digitale_commune, dé_de_Notre-Dame, gantelée, doigt_de_la_Vierge, doigtier, gantière, grande_digitale, péterolle
silicicole	calcifuge
redoublant	bisseur, doublant, tome_deux
béhavioriste	comportementaliste
animal_de_production	animal_de_rapport
interrupteur	switch
chique	chewing-gum, chiclet, gomme_à_macher
cadusafos	S,S-di-sec-butyl_O-éthyl_phosphorodithioate, FMC_67825, ebufos, O-éthyl_S,S-bis(1-méthylpropyl)_phosphorodithioate
mouche_sauteuse	sauteuse
mille-pieds	mille-pattes, myriapode
poser_un_lapin	faire_faux_bond
cohober	redistiller
aspergière	aspergerie, aspergeraie
pimpoy	clampin, grouillot
remembrance	souvenance, souvenir
sortir_par_les_yeux	sortir_par_le_nez
saung	saun_gau, saùng_gauk
prophète	vaticinateur, visionnaire, devin
audiomètre	acoumètre
faire_un_marché	s’accorder, pactiser
bruxelliser	liégiciser
décil	dextil
lorem_ipsum	bolo_bolo, faux-texte
cuit-pommes	pommier, cuit-poires
regarder_de_côté	regarder_de_haut_en_bas, regarder_d’un_mauvais_œil, regarder_de_travers
fréter	noliser, affréter
merle_d’Amérique	merle_migrateur
être_aux_anges	être_aux_oiseaux, heureux_comme_un_roi
toux_grasse	toux_humide, toux_d’expectoration
bribe	bout, fragment, partie, lambeau, relief
une_bonne_fois_pour_toutes	définitivement, une_fois_pour_toutes
sauge	vert_sauge
libelle	diatribe, pamphlet
Košice	Cassovie
cela_ne_s’est_jamais_vu	cela_ne_s’était_pas_encore_vu, on_n’a_jamais_vu_pareille_chose, on_n’a_jamais_vu_une_chose_pareille
faire_l’expérience_de	mettre_à_l’épreuve
créduliser	naïviser
recèlement	recel
sous-gaussien	lepto-kurtique, leptokurtique
nightclub	night
ambystome_tigré	salamandre_du_Mexique, salamandre-tigre
à_franc_étrier	à_tombeau_ouvert, à_bride_abattue
antioxygène	antioxydant
dyspepsie	indigestion
nifé	barysphère
endémique	sédentaire
joint_torique	o-ring
fréquence_radio	radiofréquence
calomnie	accusation, imputation, fausse
sans-logis	sans-abri, sans_domicile_fixe, SDF
diatopique	dialectal
sans_perte_de_généralité	sans_nuire_à_la_généralité, sans_perdre_de_généralité
inconsciemment	machinalement, involontairement
bride	mors, rêne, buffleterie, lien, bridon, jugulaire, attache, guide, anneau
cyromazine	N-cyclopropyl-1,3,5-triazine-2,4,6-triamine, cyclopropylamino-2_diamino-4,6-triazine-1,3,5, CGA_72662, cyclopropylmélamine
à_toute_blingue	à_toute_berzingue
inversement	en_revanche
combiné	combiné_téléphonique
antéconsonantique	préconsonantique
caniard	canjard
prendre_des_mesures	faire_le_nécessaire, prendre_les_mesures_qui_s’imposent, prendre_ses_mesures
penaillon	guenille, loque
acétabulum	cavité_cotyloïde, acétabule, cotyle
avec_les_pieds	comme_un_pied
plantage	panne, incident
subcaudal	sous-caudal
brief	brieux, bref
échouer	faire_un_flop, rater_son_coup, tomber_à_plat, faire_chou_blanc, tomber_à_l'eau_
eccéité	individualité, ipséité, identité, substance
rouge-gorge_familier	sylvie_rubécule, bérée
insensibiliser	anesthésier
trou_d’homme	bouche_d’égout, regard
déloader	décharger
radiation	rayonnement
obsidienne	agate_d’Islande, obsidiane, verre_des_volcans
autoroute	autostrade, highway
nom_adjectif	adjectif
massivité	massiveté
dugong	halicore, vache_marine
attentivement	bien
vipère_de_mer	syngnathe, aiguille_de_mer
quadrisyllabe	tétramètre, tétrasyllabe
Odin	Wotan
schéma	schème
Bessarabien	Bessarabe
abaissant	avilissant, dégradant, humiliant
biorythme	chronobiologie
dépotage	dépotement
montre_en_main	précisément, exactement
Carolo	Carolopolitain, Carolorégien, Carolomacérien
Polytechnique	X
quantième	combientième
ponor	embut
saulaie	sauçaie, saussaie, saulée
ad_honores	honorifique, honoris_causa
simplissime	ultrasimple
écœurer	se_fatiguer, se_lasser, se_tanner
alternance	alternement, alternation
un_jour_prochain	un_jour_ou_l’autre
avoir_les_boules	avoir_les_glandes
multibrin	multifilaire
chichiteur	chichiteux
minus	moins-que-rien, imbécile, minable, idiot, poltron, minus_habens, minus-habens, crétin
turcique	turc, turk
espace_forte	espace_mots, espace_justifiante
binocle	lorgnon
astreindre	assujettir, contraindre, obliger
aiguiser	émoudre
Quaker	Trembleur
capacité_électrique	capacitance
dinocap	2-isooctyl-4,6-dinitrophényl_(2E)-2-butenoate, dinitrophénylcrotonate, (RS)-2,4-dinitro-6-octylphényl_crotonates, (RS)-2,6-dinitro-4-octylphényl_crotonates, 4-isooctyl-2,6-dinitrophényl_(2E)-2-butenoate
absurde	saugrenu, ubuesque, nawak, n’importe_quoi, aberrant, kafkaïen, énormité
coéducation	école_mixte
sachée	sac
chichiteux	chichiteur
mimolette	boule_de_Lille, vieux_Hollande
journée	jour
au_sens_large	sensu_lato
ébouriffement	ébouriffage
idée_folle	chimère
deuxième_art	sculpture
bois_joli	lauréole_femelle, bois_gentil
pigiste	freelance
pyrargyrite	argent_sulfuré_fragile, mine_d'argent_rouge, mine_d'argent_rouge_antimoniale, argyrythrose, braardite, aerosite, argent_antimonié_sulfuré
sous-soleuse	sous-soleur
guitare_de_mer_fouisseuse	raie_requin, raie-guitare_fouisseuse
antidogmatisme	scepticisme
talbin	biffeton
quignon	crochon, crouton, croûton, crotchon
pain_au_chocolat	couque_au_chocolat, petit_pain, chocolatine, petit_pain_au_chocolat
navire_amiral	bateau_amiral
caleçon	calfouette, calbut, calcif, calbar
scalabilité	variabilité, extensibilité, échelonnabilité, dimensionnel
heptagone	heptagonal
psychomimétique	psychoso-mimétique
tachy-	tacho-, tachéo-
revanche	vengeance
chien-assis	lucarne_retroussée, lucarne_demoiselle
théotisque	tudesque
qabiao	laqua, pubiao
holistique	holiste
brize	amourette
mettre_aux_pieds_du_crucifix	mettre_aux_pieds_de_la_croix
trouver_le_chemin_des_filets	trouver_le_chemin_des_buts
mosquée	mahomerie
garrot_à_œil_d’or	garrot_d’Europe
Guatémalien	Guatémaltèque
phalène_soufrée	papillon_à_queue_d'hirondelle, phalène_du_sureau, géomètre_du_sureau
encloser	enclore
agrimensation	arpentage
somatique	organique
poltergeist	esprit_frappeur
ichthyologue	ichthyologiste
électrocuter	électrique, recevoir, décharge, avoir, exécuter
morceau	pièce, fragment, partie, part, sous-ensemble
lichénée_mariée	lichenée_rouge, mariée, lichénée_rouge
cheval_de_trait	cheval_lourd, cheval_à_sang_froid
gigabit-ethernet	1000Base-T
suppositoire	suppo
haute_tige	arbre_à_haute_tige, plein_vent
virage_coupé	virage_carvé
ronchonner	râler, rouspéter, maronner, bougonner, maugréer
plataniste_de_l’Indus	bhulan
gaz_rare	gaz_inerte, gaz_noble
Jupiter_XXXV	Orthosie, J_XXXV, S/2001_J_9
biper	pager
sauçaie	saulée, saulaie
accourcissement	raccourcissement
raccommodable	réparable
piclorame	acide_amino-4_trichloro-3,5,6_picolinique
ilote	esclave
à_suivre	épisode, la_suite_au_prochain_numéro
torchon	essuie, torche-cul
francisme	hexagonisme, gallicisme
multiplexage_fréquentiel	MRF, FDM
au-dessous	en_bas
kurmanci	kurmandji, kurde_du_nord
bécassin_à_long_bec	limnodrome, limnodrome_à_long_bec
smaltite	cobalt_arsenical, cobalt-gris, cobalt_tricoté, mine_de_cobalt_arsénicale, smaltine
pinocumettable	mettable, sexy, désirable, enculable, potable, baisable, pénétrable
converser	placoter, discuter, jaser
avoir_des_couilles_au_cul	en_avoir_deux, en_avoir, avoir_des_couilles, être_couillu
programmeur	développeur
ancien	doyen, dinosaure, reculé, vieux, antédiluvien, archaïque, séculaire, antique, aîné, préhistorique, passé
cétane	hexadécane
irréductible	invincible
hexachlorocyclohexane	H.C.H., HCH
en_règle_générale	en_principe, normalement
chérot	cher
avoir_de_la_gueule	avoir_de_l’allure
surgaussien	platykurtique, platikurtique
hyperlucide	ultra-lucide, ultralucide, superlucide, super-lucide
discompte	low-cost
rennuyer	réennuyer
paludisme	malaria
longue-vue	lunette, jumelle, télescope
papier_ministre	tellière, papier_tellière
follicule_pileux	follicule_du_poil
foire	attraction
garoube	garousse
à_califourchon	à_chevauchons
gniasse	gnière
pédégette	pédégère
forfaitiste	tour-opérateur, voyagiste
tirer_satisfaction	tirer_raison
infiltration	entrisme
convoi	escorte, accompagnement
huréaulite	palaite, pseudopalaite, baldaufite
brigade_des_mœurs	Brigade_de_répression_du_proxénétisme, brigade_mondaine
léger	faible
tirer_la_copie	tirer_copie, tirer_une_copie
tante	tantine, matante, tatie, homosexuel, tata
coudraie	coudrette
carte_d’appel	carte_prépayée
cabeca	cabesse
byzantiniste	byzantinologue
sinistralité	gaucherie
lunetier	opticien
à_tes_souhaits	à_tes_amours
radiodiagnostic	radioscopie
séide	barbouze, sicaire, zélateur, sbire
aisé	coulant, fortuné, naturel, facile, simple, nanti, prospère, riche
intumescence	tumescence
interlude	intermède
prendre_port	prendre_terre
gibassier	pompe_à_l’huile, fougasse_d’Arles
grande_camomille	bouton_d'argent, pyrèthre_doré, partenelle, matricaire, matricaire_commune, pyrèthre_mousse, œil-du-soleil
vaporiser	évaporer, brumiser
déniaiser	dépuceler
cul_par-dessus_tête	jambes_en_l’air, jambes_par-dessus_tête, à_jambes_rebindaines, les_quatre_fers_en_l’air
sulfhydrate	hydrosulfate, hydrosulfure
câblodiffusion	télévision_par_câble, câblé, téléréseau, câblodistribution, réseau, vidéocommunication, câble, télédistribution
perforant	fléchisseur_commun_profond_des_doigts, fléchisseur_profond_des_phalanges
clair_et_net	clair_comme_le_jour, clarinette, clair_comme_de_l’eau_de_source, clair_comme_de_l’eau_de_roche
orogénie	orogenèse
gestion_des_ressources_humaines	gestion_du_personnel, GRH
mitraillette	américain, sulfateuse, spécial, routier
accise	contributions_indirectes, impôt_indirect, taxe_d’octroi, excise, droit_de_régie, impôt_de_consommation
ammochryse	or_de_chat
chapeau	bravo, couvre-chef, tête, galurin, galure
gagner_le_taillis	gagner_le_large, gagner_au_pied, gagner_les_champs
bar_à_putes	bar_à_champagne, bar_à_champ, bar_à_hôtesses
casse-pied	emmerdant, casse-couille, chieur, emmerdeur, chiant
mésocéphale	pont_de_Varole
millilitre	centimètre_cube
intraduisible	intraductible
akyé	attié
anthropotoponyme	anthroponyme, anthropochoronyme
avérable	prouvable
Ibère	Ibérien
fumer_comme_un_pompier	fumer_comme_un_Turc, fumer_comme_un_sapeur, fumer_comme_une_cheminée
ne_pas_se_fouler_la_rate	se_casser_la_nénette
cul_de_basse-fosse	oubliette
venir	produire, arriver
glossolalie	aphasie
steeple-chase	course_au_clocher
affaire	tâche
gypaète_barbu	laemmer-geier, vautour_barbu, lemmer-geyer, vautour_des_agneaux, læmmer-geyer, lœmmer-geyer, lœmmergejer
tchador	burqa, niqab, jilbab
en_perspective	en_vue
pour_rien_au_monde	même_pas_en_rêve, jamais_de_la_vie, hors_de_question, pas_question, dans_tes_rêves
smithsonite	calamine, bonamite, zinc_carbonaté
sans_foi_ni_loi	sans_aveu
indigérer	indigestionner
enceinte_acoustique	baffle
trekking	trek, randonnée, grand
tilter	piger, saisir, faire_tilt
hémine	ferriprotoporphyrine
bienheureusement	benoîtement
biologique	naturel
défluence	division, bifurcation, disjonction, séparation
jeune	enfantin, petit, récent, juvénile, nouveau, jeunot
bucheronnage	élagage, abattage
béhavioralisme	behaviouralisme, béhaviourisme, behaviourisme, béhaviorisme, behaviorisme
brièveté	éphémérité
prise_de_courant	prise, prise_électrique
actuateur	actionneur
dreadlocks	cadenettes
antivermineux	antihelmintique, vermifuge, anthelmintique
clé_d’ut	clef_de_do
récépissé	accusé_de_réception, reçu
cadeauter	gratifier
bonnet_d’âne	oreilles_d’âne
premier_but	première_base
antipoison	antidote
intumescent	boursouflé
muay_thaï	boxe_thaïlandaise, boxe_thaï
trinexapac-éthyl	cyclopropyl_alpha-hydroxyméthylène-4_dioxo-3,5_cyclohexane_carboxylate_d’éthyle, ethyl_4-(cyclopropylhydroxymethylene)-3,5-dioxocyclohexanecarboxylate, ethyl_(RS)-4-cyclopropyl(hydroxy)methylene-3,5-dioxocyclohexane_carboxylate
vésuvianite	jefreinoffite, hyacinthe_volcanique, genévite, hyacinthe_du_Vésuve, hétéromérite, hyacinthine, idocrase, vésuvienne
Monopanglotte	Gagne-monopanglotte
c’est_la_poêle_qui_se_fout_du_chaudron	c’est_l’hôpital_qui_se_moque_de_la_charité
registre_neutre	registre_courant, registre_standard
pastis	fly, pastaga, sac_de_nœuds, jaune, flaï, bordel, embrouillamini, imbroglio
couverture	défense, garantie, protection, plaid, une
bâtardiser	abâtardir
talapoin	singe_de_mangrove, cercopithèque_mignon, singe_des_palétuviers
prison	auberge, Fresnes, geôle, mitard, cellule, pénitencier, maison_de_correction, zonpri, trou, maison_d’arrêt, pourpoint_de_pierre, maison_de_détention, maison_de_force, niouf, chartre, gniouf, cachot, zonzon, cabane, gnouf, maison_centrale, cabanon, taule, séchoir, violon, zonz, placard
émissole_lisse	chien
postambule	postface
mégère	virago, harpie, dragon, satyre, gendarme
bregin	bourgin, bergin, bregier
zancle	tranchoir
sèche-linge	sécheuse
bougon	gronchon, ronchon, grognon, insatisfait
butène	butylène
tomber_dans_l’œil	séduire, plaire, donner_dans_l’œil, taper_dans_l’œil
réprimandable	blâmable
chagrin_d’amour	maladie_d’amour, peine_de_cœur
traductible	traduisible
récréationnel	récréatif
techniciser	techniser
provitamine	prévitamine
quarter_horse	American_quarter_horse
feuille_de_contributions	feuille_d’impôts
veau_marin	veau_de_mer
moulin_à_eau	moulin_hydraulique
chaînette	caténaire
coco-fesses	coco_des_mers
hirondelle_rustique	hirondelle_de_cheminée, hirondelle_des_granges
acide_sulfarsénieux	sulfure_jaune_d’arsenic, orpiment
huron	wendat
ligne_arquée	arcade_de_Douglas, repli_de_Douglas, repli_semi-lunaire
arminien	remonstrant
permuter	remplacer, commuter, intervertir, échanger
censier	fermier, métayer, registre, rôle
dermatane_sulfate	chondroïtine_sulfate_B
chelou	bizarre, zarbi, étrange, curieux
scène_de_crime	crime_scene
gueuserie	coquinerie, bélîtrerie
combiner	concilier, amalgamer, associer, allier
époxyde	polyépoxyde, polymère_époxyde
code_source	code, sources, source
prix_naturel	prix_de_revient
oxo-biodégradable	biofragmentable
insipide	saveur, goût, insapide
Russe	Popov, ruskov, Russien
réséda_des_teinturiers	herbe_à_jaunir, gaude, réséda_jaunâtre, grand_réséda, herbe_des_juifs, herbe_jaune, mignonette_jaunâtre
apozème	décoction, tisane
différentiable	différenciable
exonératoire	expurgatoire
déshabiller	déloquer, défringuer, dévêtir, désaper
ne_pas_voir_plus_loin_que_le_bout_de_son_nez	ne_pas_voir_plus_loin_que_son_nez
diazinon	diéthyl-isopropyl-méthyl-pyrimidilphosphorothioate, thiophosphate_de_O,O-diéthyl_et_de_l’O-(isopropyl-2_méthyl-6_pyrimidile-4)
requin_dormeur_taureau	requin_dormeur_de_Port-Jackson
erronément	incorrectement
pastel	pastel_des_teinturiers, isatis, guède
aux_mains	entre_les_mains
PGDC	PGCD
New_Age	Nouvel-Âge
trou-madame	boule_à_grille, passe-boule, uypsel, boule_à_la_niche
patronage	mécénat, parrainage
intestin	fraise, interne, crépine, tripe, boyau, intérieur
bacille_de_Hansen	bacille_de_la_lèpre
superpartenaire	sparticule
buyang_baha	baha
strident	criard
sausuire	sansouïre, salanque
rétractable	rétractile
malhonnête	croche
consultable	accessible
amœbidé	amoebien
sens_des_aiguilles_d’une_montre	rétrograde, sens_horaire, anti-trigonométrique, sens_négatif, horlogique
folle	homosexuel
citron	jaune
becqueteur	baker
jalon	repère, commencement, marque
puce_à_ADN	puce_à_gènes, biopuce
fluénétil	(biphénylyl-4)-2_acétate_de_fluoro-2_éthyle
couturer	balafrer
réenquiller	renquiller
exclamateur	orfraie, prêcheur, effraie, prédicateur
zythum	vin_d’orge, boisson_pélusienne
advienne_que_pourra	vogue_la_galère, les_dés_sont_jetés, alea_jacta_est
neptunite	carlosite, ferroneptunite
chromophore	chromatophore
folie	forcènement, amok, imbécillité, névrose, délire, déraison, crétinisme, inconscience, égarement, mode, frénésie, témérité, passion
réverbère	pendu_glacé
prisme	œillères
blogue	cybercarnet, joueb, jourel, carnet_Web
procellaria	pétrel
en_haut	là-haut
achat_groupé	package_deal
Panaméen	Panamanien, Panamègne
embourser	empocher
peau	exoderme, ectoblaste, ectoderme
cacogenèse	tératogénie
amniotique	amnique
neptunium	éka-prométhium
cantonnière	cornière
balançoire	escarpolette, tapecul
faire_impression	varger, bluffer, avoir_de_la_gueule, porter_coup, porter, faire_de_l’effet
crossette	avantin
pastoral	bucolique
hors_de_prix	inabordable
romarin	romathîn, encensier, herbe_aux_couronnes, romarin_officinal, rose-marine, jersiais
à_Dieu_ne_plaise	Dieu_m’en_garde
première_base	premier_but
substituer	remplacer
lamisme	lamaïsme
couillonnerie	bêtise, couillonnade
échangiste	trioliste, mélangiste
promettre_et_tenir_sont_deux	ce_n’est_pas_tout_de_promettre,_il_faut_tenir
chromatophore	chromophore
emmental	gruyère
pignon_à_rue	pignon_sur_rue
cela_dit	ceci_dit
progressisme	positivisme
polyptyque	pouillé, retable, cadastre
moteur	agent, mobile, instigateur
grège	beige, brut
boule_à_neige	boulaneige, boule_neigeuse, boule_de_neige
intercomparaison	parangonnage
ciboulette	civette, cive
composé_organique_volatil	COV
demeurer_en_arrière	demeurer_en_reste
étançon	cep, sep
possesseur	propriétaire
volleyball	volley, ballon-volant
sacrer_la_paix	sacrer_patience, crisser_la_paix, foutre_la_paix
Ijiraq	S/2000_S_6, Saturne_XXII
immobilisant	paralysant
hiémal	hivernal
courbe	sinueux, tortueux, tournant
radiobalise	radiophare
glissante	semi-voyelle, semi-consonne, glide
futur_du_passé	futur_dans_le_passé
éolien	éolique
jardin_légumier	jardin_potager, jardin_maraîcher
inactivité	non-activité
délocalisateur	impartiteur
téléphone	combiné, mobile, taxiphone, cellulaire, bigophone, fixe
mémorette	clé_USB
ignoblement	affreusement
verge	pénis
habitacle	habitation, demeure, poste_de_pilotage, cabine_de_pilotage, cockpit
œillette	pavot_blanc, huile, olive, servait, contrefaire, olivète
ambisexuel	bisexuel
bougie	chandelle, bougie_de_démarrage, gus, cierge, cathéter, zig, sonde
court-circuit	court-jus
en_plein_air	dehors
topaze	chrysolithos, pyrophysalite, physalite
serradelle	pied-d'oiseau_cultivé, ornithope_cultivé, ornithope_rosé
italien	périphrase, langue_de_Dante, langue_de_l’amour
ventriloque	engastrimythe
acide_2,3,6-trichlorobenzoïque	2,3,6-TBA, T.B.A.
réattendrir	rattendrir
étainier	postainier
chaînon	maillon
proto-germanique	germanique_commun
narquoiserie	narquoisité
gaélique_écossais	écossais
dénaire	décimal
épris	amoureux, énamouré, féru, passionné, séduit
sous-préfecture	arrondissement, chef-lieu_d’arrondissement
bringueur	noceur
lancer	garrocher, lancement
restaurant-pub	pub-restaurant, resto-pub
secundo	deuzio
lactobacille	bacille_lactique
aller_vite_en_besogne	aller_plus_vite_que_la_musique
grand_sylvain	nymphale_du_peuplier
anthropométrique	biométrique
placidement	flegmatiquement
immergé	noyé
achluophobie	nyctophobie, lygophobie, scotophobie, noctiphobie
tonnelissoir	tonne-grenoir
côte-d’orien	costalorien
parler_à_l’oreille	faire_des_messes_basses
qui_vive	qui_va_là
avocat_de_la_poursuite	représentant_du_ministère_public, procureur_de_la_Couronne, procureur_de_la_République, avocat_du_ministère_public, substitut_du_Procureur_général, substitut_du_procureur, avocat_de_la_Couronne
chagrin	mélancolie, peine, souffrance, tristesse, douleur, affliction, peau_de_chagrin
courge	cougourde
cercle_trigonométrique	cercle_unité
christianophobe	antichrétien
facsimilé	réplique, transcription, double, copie, duplicata, figuration, imitation, photocopie, fax, télécopieur, reproduction, télécopie
cousine_germaine	cousine_à_la_mode_de_Bretagne, cousine_du_premier_degré, cousine_au_premier_degré
quotient	rapport, ratio
web_invisible	web_profond, web_caché
surir	acidifier, aigrir
gammagraphie	scintigraphie
caractère	glyphe, tempérament, personnalité, mentalité, caractéristique, particularisme, particularité
déprussianiser	déprussifier
jourel	cybercarnet, blogue, joueb, carnet, journal_web, carnet_web
surin	chourin
zeuzère_du_marronnier	coquette, zeuzère_du_poirier
neuroleptique	camisole_chimique, antipsychotique
caresser	minoucher
agnostique	areligieux
alisier_de_Suède	sorbier_intermédiaire, sorbier_de_Scandinavie
accoucheur	sage-femme, sage-femme_homme
pyridabène	2-tert-butyl-5-(4-tert-butylbenzythio)-4-chloro-pyridazin-3(2H)one
poussin	jeune
putain	mœurs, salope, pute, biétaze, fille_publique, Marie-salope, Marie-Madeleine, fille_de_joie, prostituée, marie-couche-toi-là, purée, fille_soumise, péripatéticienne, tapin, catin, chienne
lire_en_quelqu’un_comme_dans_un_livre_ouvert	voir_venir
festoyer	festiner
antiphtisique	antituberculeux
zibeline	martre-zibeline
comique	désopilant, rigolo, hilarant, drôle
glottorer	claqueter, craqueter
compostage	affranchissement
pénial	pénien
irracontable	inracontable
hépato-biliaire	hépatique_et_biliaire
putréfiable	putrescible
autorégulation	autoréglage
clandestinement	furtivement, sous_le_manteau, secrètement
calecer	baiser, niquer
ramnologue	tziganologue, tsiganologue
normothymique	thymorégulateur
sinuer	serpenter
bistrot	patron, bistrotier, estaminet, bouillon, troquet, tavernier, zinc
Basilicate	Lucanie
feuilletonniser	feuilletonner
membrane_vitelline	peau_du_jaune_d'œuf, vitelline
flanc-de-chien	plat-côté-de-chien, dogrib
améliorateur	amélioratif
manger_à_s’en_faire_péter_la_sous-ventrière	se_faire_péter_la_panse
unobtainium	impossiblium
Hunnu	Xiongnu
métro	tromé
butane	tétrane, diéthyl, méthyléthylméthane, n-butane
évolutionnel	évolutif, évolutionnaire
câliner	dorloter, choyer, mignoter, entourer, bichonner, cajoler, soigner, gâter, soin, couver, pouponner, combler, occuper, chouchouter, chérir, mignarder, coucounner
Homo_heidelbergensis	homme_de_Heidelberg, homme_d’Heidelberg
trillion	exa-, milliard_de_milliards
Neptune_XII	N_XII, S/2002_N_3, Laomédie
létalité	mortalité
bisou	embrasser, baiser
quatrième	quart
panneau_solaire	panneau_photovoltaïque
remettre_en_état	raccomoder, réparer, arranger
estouffade	étouffade, étouffée
centripète	axipète
pyriméthanil	ZK_100309, N-(4,6-diméthylpyrimidin-2-yl)aniline, 4,6-diméthyl-N-phényl-2-pyrimidinamine
cenne_noire	sou_noir, cenne, cent
requin-marteau	marteau_de_mer, marteau-de-mer
brise-burnes	casse-pieds, casse-couille, casse-bonbon, casse-couilles, casse-bonbons
luette	uvula, uvule
per-	trans-, par-, di-, dia-
bessarabien	bessarabe
cambuse	taule, turne
objectif_à_décentrement	tilt-shift
chinométhionate	méthyl-6_1,3-dithiolo(4,5-b)_quinoxalinone-2, oxythioquinox
pineraie	pinède
marmelade	compote, confiture
étal	éventaire, étalage
tourner_de_l’œil	tomber_dans_les_pommes
on_ne_sait_quel	Dieu_sait_quel, je_ne_sais_quel
hitlérisme	national-socialisme, nazisme
étai	soutènement
gastrophilose	gastérophilose
acide_méthanoïque	acide_formique
randonnée_équestre	équitation_d'extérieur, équitation_de_pleine_nature
mante_de_pluie	imperméable
Ségolène	Sigolène
soie_tussah	tussan, tussau
retirer_un_serpent_dans_son_sein	nourrir_un_serpent_dans_son_sein, réchauffer_un_serpent_dans_son_sein
au_pis_aller	au_pire, au_pis
fon-gbe	fon
anté-	anti-, pro-, pré-, avant-
faire_la_charité	faire_l’aumône
courai	courée
zoanthaire	hexacoralliaire
coffret	cassette
charron	bleu_charrette, bleu_charron
évertuer	s'efforcer, lutter, peiner, combattre, batailler, démener
paperasserie	paperasse
sous-alimentation	malnutrition, sous-nutrition
pharmacien	apothicaire
pers	vert-bleu, bleu-vert, turquoise, cyan
capsule	gélule
gyrole	chervis
superbement	merveilleusement, prodigieusement, admirablement
pois_d’Angole	bois_de_pois, pois_cajan, pois_Congo, pois_de_pigeon, cajanus, catjang, cajan_de_l'Inde, ambrevade, ambarivatry
Satan	Lucifer, shaytan, chétane, Iblis
annonce	message
clôturer	enclore
alumine	hydroxyde, oxyde, aluminium, anhydre, hydraté
!xóõ	taa
arc_incident_vers_l’intérieur	arc_entrant
matière_grise	substance_grise
huile_de_cade	goudron_de_cade
vaquero	guardian
Taurus	Monts_Taurus
TTBM	bien_monté, TBM
escroc	filou, fripon, escroqueur, fourbe
laudateur	flatteur, élogieux, louangeur, laudatif, thuriféraire
teigne	tinéidé, mite
congolais_de_Kinshasa	kino-congolais, congo-kinois
connexité	connexion
billevesée	sottise, coquecigrue, bêtise, chimère, sornette, faribole, baliverne
lysimaque	herbe_aux_écus
Bourgoin-Jallieu	Bourgoin
vérificateur_d’orthographe	vérificateur_orthographique, correcteur_orthographique
honnêteté_intellectuelle	bonne_foi
monodie	monophonie, homophonie
quartier	bloc, morceau, quart, tranche, pièce, voisinage, district, portion
merdoie	caca_d’oie
tram	tramway
à_bon_chat,_bon_rat	à_malin,_malin_et_demi
riz_gluant	riz_glutineux
incurable	inguérissable
fonofos	O-éthyl-S-phényl-éthyl_phosphonodithionate, éthyl-dithiophosphonate_de_O-éthyle_et_de_S-phényle
lisbroquer	lascailler, lancecailler, lancebroquer, lanscailler
aristolochique	emménagogue
rhombododécaèdre	dodécaèdre_rhombique, granatoèdre, dodécaèdre_rhomboïdal
garçon	gamin, fils, gars, enfant, serveur
entrecuisse	entrejambe
scannage	scannérisation, numérisation
aux_frais_de_la_princesse	gratos, à_l’œil
fouetter	flageller, dauber, puer, ne_pas_sentir_la_rose, schmouter, schlinguer
sloughi	lévrier_berbère, lévrier_arabe
hispano-arabe	hispano-mauresque, arabo-espagnol, arabo-andalou
hydrargyrie	mercurialisme, hydrargyrisme, hydrargie, maladie_de_Minamata
sans-patrie	apatride
gentillet	gentil, joliet, mièvre, mignon, mignonnet
slavitude	slavité
trutticole	truiticole
orcanette	anchuse, buglosse
vélorizontal	vélo_couché
traiter	soigner
pizzly	grolar
bout-dehors	boute-hors
différer	ajourner
nitrate_de_calcium	dinitrate_de_calcium
charrue	araire, brabant
bénéfice	mine, produit, dividende, guelte, lucre, boni, tant_pour_cent, vache_à_lait, rapport, gain, revenant_bon, bonification, avantage, pécule, tour_du_bâton, gratte, anse_du_panier, commission, aubaine, casuel, profit, rendement, courtage
fiasco	bide
dégrouiller	grouiller
peur	angoisse, effroi, appréhension, anxiété, frousse, inquiétude, panique, pleutrerie, frayeur, épouvante, crainte, pétoche, horreur, souleur, trac, terreur, trouille, jetons, foies
antiburqa	antivoile
râpé	usé_jusqu’à_la_corde
morphose	morphing
fouille	profonde
sarper	assarper, essarber, esserber, esserper, serper
gongué	agogô
permanent	continuel, durable, constant, perpétuel
diélectrique	isolant
molène	bouillon_blanc
variscite	bolivarite, variquoise, barrandite, lucinite, utahlite, sphaérite, peganite, alpha-variscite, amatrice
réavachir	ravachir
paroisse	cure
octogone	octogonal
trez	faluns
affleurement	affleurissement
Kingston-upon-Thames	Kingston-sur-Tamise, Kingston, Kingston-sur-la-Tamise
irascible	coléreux, irritable, acariâtre, caractériel, colérique
trek	randonnée, grand
Prospéro	Uranus_XVIII, S/1999_U_3
organe	élément, partie, composant
treu	treuille
verbe_irrégulier	verbe_fort
mélézin	mélèzein
ramnologie	tziganologie, tsiganologie
cromfordite	phosgénite
bougre	bigre, homosexuel
oreille	audition, feuille, ouïe, poignée, portugaise, pli, écoutille, esgourde, anse, pavillon, étiquette, corne, confiance
valeur_mobilière	titre_financier
pénien	pénial
iatrogène	iatrogénique
Lémuries	Lemuria
phytologue	botaniste
inventeur	créateur, novateur, innovateur
